ID,Название дизайна (RU/EN),Midnight Navy,Neon Green,Glow-in-the-dark,Светящаяся роспись,Весна / Лето,"Темно-синяя база с нарисованными вручную лозами и цветами, светящимися неоново-зеленым в темноте. Футуристичный взгляд на природные мотивы, меняющий облик в зависимости от освещения.","macro photography of female hands, elegant long fingers, high-end jewelry, soft cinematic lighting, 8k resolution, hyper-realistic skin texture. Midnight navy nails adorned with delicate glowing neon green botanical vines. Bioluminescent effect, mystical garden aesthetic."
STIL-26-001,Кибер-Гот Y2K / Cyber-Goth Y2K,Iridescent Rainbow,Liquid Silver Chrome,Black,"3D хром, аэрография",Осень / Зима,"Переливающаяся радужная база, дополненная темными трайбл-паттернами и массивными 3D-сердцами из жидкого серебра. Эстетика двухтысячных годов в агрессивной и высокотехнологичной интерпретации.","macro photography of female hands, elegant long fingers, high-end jewelry, soft cinematic lighting. Nails with an iridescent dark rainbow aura base, heavily decorated with tribal cyber-goth patterns in black and large 3D liquid silver chrome bubble hearts. Y2K 2.0 aesthetic."
STIL-26-002,Неоновый Микро-Френч / Neon Micro-French,Nude Base,Neon Yellow,Neon Pink,Микро-френч,Лето,"Идеальное нюдовое покрытие с экстремально тонкой линией неонового цвета на свободном крае. Создает яркий отпускной акцент, сохраняя при этом сдержанную и ""чистую"" структуру классического френча.","macro photography of female hands, elegant long fingers, high-end jewelry, soft cinematic lighting. Perfect natural nude base nails with an ultra-thin 1mm neon yellow and neon pink micro-french tip. Clean, vibrant summer aesthetic, glossy finish."
STIL-26-003,Глубокий Космос 12D / Deep Space Cat-Eye,Cobalt Blue,Black,Silver Shimmer,12D Magnetic Velvet,Зима,Магнитный гель 12D в кобальтово-синих и черных тонах с мелкими металлическими частицами. Равномерное распределение шиммера создает эффект объемного свечения глубокого космоса прямо внутри ногтя.,"macro photography of female hands, elegant long fingers, high-end jewelry, soft cinematic lighting. Almond nails featuring a deep space 12D magnetic cat-eye effect. A velvety blend of cobalt blue and black base with silver cosmic shimmer scattered across the nail, galaxy aesthetic."
STIL-26-004,Темная Черепаха / Dark Tortoiseshell,Espresso Brown,Dark Amber,Black,"Желейная глубина, wet-on-wet",Осень,"Насыщенный животный принт в цветах эспрессо и темного янтаря, выполненный влажной растушевкой. Глянцевая глубина слоев имитирует фактуру настоящего полудрагоценного камня.","macro photography of female hands, elegant long fingers, high-end jewelry, soft cinematic lighting. Glossy nails with a deep, rich tortoiseshell pattern. Translucent jelly layers of dark espresso brown, dark amber, and black, blending organically for a semi-precious stone look."
STIL-26-005,Ультрафиолетовый Неон / UV-Reactive Neon,Clear Acrylic,Acid Green,Electric Pink,"УФ-свечение, инкапсуляция",Лето,"Прозрачное акриловое наращивание со встроенными яркими пигментами, которые полностью интегрированы в толщу ногтя. Пигменты начинают интенсивно светиться под светом черных ламп.","macro photography of female hands, elegant long fingers, high-end jewelry, soft cinematic lighting. Long coffin nails made of clear acrylic encapsulated with vibrant acid green and electric pink UV-reactive neon pigments. Club aesthetic, glowing from within."
STIL-26-006,Черное Кружево / Black Lace French,Soft Beige,Jet Black,Matte Top,Детальная роспись,Осень / Зима,"Мягкая бежевая подложка с кончиками, расписанными под сложнейшее черное кружево. Матовое завершение придает дизайну утонченный и слегка готический характер.","macro photography of female hands, elegant long fingers, high-end jewelry, soft cinematic lighting. Almond nails with a soft sheer beige base. The tips feature intricate, hand-painted jet black lace patterns. Matte finish on the lace, romantic gothic aesthetic."
STIL-26-007,Темный Авангард / Dark Avant-Garde Drip,Matte Black,Liquid Gold,Clear Gloss,"Матовый фон, 3D хром-капли",Осень / Зима,"Идеально матовый и глухой черный фон, по которому фактурно стекают 3D-капли расплавленного золота. Экстремальный контраст текстур для максимального привлечения внимания.","macro photography of female hands, elegant long fingers, high-end jewelry, soft cinematic lighting. Extreme contrast nails: pitch black matte base adorned with thick 3D drips of glossy liquid gold chrome. Avant-garde, luxurious and edgy look."
STIL-26-008,Изумрудная Аура / Emerald Glow Aura,Dark Charcoal,Neon Emerald,Silver Dust,"Аэрография, градиент",Зима,"Темно-угольная подложка с пульсирующей неоново-изумрудной аурой, распыленной аэрографом по центру. Серебряная пыль добавляет мистическое сходство с цифровым свечением.","macro photography of female hands, elegant long fingers, high-end jewelry, soft cinematic lighting. Square nails with a dark charcoal base. A vibrant, glowing neon emerald green aura airbrushed in the center, scattered with fine silver dust. Luminous, mysterious aesthetic."
STIL-26-009,Кровавый Дип-Френч / Oxblood Deep French,Milky Pink,Oxblood Red,High Gloss,Deep French,Осень,"Драматичный французский маникюр с экстремально заниженной, вытянутой линией улыбки цвета темной бычьей крови. Навеян эстетикой 90-х и визуально удлиняет ногтевое ложе.","macro photography of female hands, elegant long fingers, high-end jewelry, soft cinematic lighting. Stiletto nails featuring a deep, exaggerated French tip in rich oxblood red over a milky pink base. Extreme curved smile line reaching down the sides, vampy 90s aesthetic."
